Model,Type,Count,Time_Seconds,CPU_Percent,Mem_KB,Disk_Writes
Process,cpu,1,0.00,75%,1664,0
Process,cpu,2,0.00,66%,1664,0
Process,cpu,4,0.00,183%,1664,0
Process,cpu,8,0.00,300%,1664,0
Process,cpu,16,0.00,300%,1664,0
Process,cpu,32,0.00,400%,1664,0
Process,cpu,64,0.01,438%,1664,0
Process,mem,1,10.97,99%,66048,0
Process,mem,2,9.87,197%,66048,0
Process,mem,4,13.84,398%,66048,0
Process,mem,8,19.97,798%,66048,0
Process,mem,16,35.14,1183%,66048,0
Process,mem,32,79.36,1187%,66048,0
Process,mem,64,247.69,1130%,66048,0
Process,io,1,24.44,4%,1536,64128
Process,io,2,36.60,5%,1536,128256
Process,io,4,72.00,6%,1536,256512
Process,io,8,87.71,11%,1536,513024
Process,io,16,137.65,23%,1536,1026048
Process,io,32,162.68,52%,1536,2052096
Process,io,64,194.26,71%,1536,4104192
